num_keys,bucket_size,leaf_size,bits_per_key,build_time,hashing_time,splitting_tree,bucket_prefixes,
100000,100,2,5.03716,110,146,494927,8789
100000,500,2,5.53052,176,166,550847,2205
100000,1000,2,5.66244,222,183,565036,1208
100000,1500,2,5.53988,256,194,553124,864
100000,2000,2,5.77269,282,199,576609,660
100000,100,3,3.30757,102,139,321967,8789
100000,500,3,3.46305,172,159,344100,2205
100000,1000,3,3.50828,220,176,349620,1208
100000,1500,3,3.54053,249,184,353189,864
100000,2000,3,3.55178,274,192,354517,660
100000,100,4,2.49481,99,132,240692,8789
100000,500,4,2.54622,164,150,252416,2205
100000,1000,4,2.55966,211,166,254758,1208
100000,1500,4,2.56899,249,176,256035,864
100000,2000,4,2.5863,273,182,257970,660
100000,100,5,2.04301,115,116,195511,8789
100000,500,5,2.03987,184,135,201781,2205
100000,1000,5,2.04255,230,150,203046,1208
100000,1500,5,2.0473,271,160,203865,864
100000,2000,5,2.04839,292,164,204179,660
100000,100,6,1.94553,140,114,185764,8789
100000,500,6,1.93155,207,132,190949,2205
100000,1000,6,1.9358,255,147,192371,1208
100000,1500,6,1.93701,286,156,192836,864
100000,2000,6,1.93668,321,162,193008,660
100000,100,7,1.83302,240,106,174513,8789
100000,500,7,1.79772,326,123,177566,2205
100000,1000,7,1.79685,378,137,178477,1208
100000,1500,7,1.79489,403,148,178625,864
100000,2000,7,1.79542,442,153,178882,660
100000,100,8,1.75082,599,104,166292,8789
100000,500,8,1.72066,692,120,169861,2205
100000,1000,8,1.71676,737,134,170467,1208
100000,1500,8,1.71446,775,141,170582,864
100000,2000,8,1.71266,809,148,170605,660
100000,100,9,1.72582,919,101,163792,8789
100000,500,9,1.69916,1037,119,167711,2205
100000,1000,9,1.69408,1094,134,168200,1208
100000,1500,9,1.69365,1128,143,168501,864
100000,2000,9,1.69095,1147,148,168435,660
100000,100,10,1.69835,1634,98,161045,8789
100000,500,10,1.66712,1796,117,164507,2205
100000,1000,10,1.66232,1857,132,165024,1208
100000,1500,10,1.66052,1882,140,165187,864
100000,2000,10,1.66032,1918,144,165372,660
100000,100,11,1.67223,5219,98,158433,8789
100000,500,11,1.63264,9349,116,161058,2205
100000,1000,11,1.62601,9653,126,161392,1208
100000,1500,11,1.62516,9947,134,161652,864
100000,2000,11,1.62358,10141,140,161698,660
100000,100,12,1.66151,9282,99,157362,8789
100000,500,12,1.61873,15162,117,159667,2205
100000,1000,12,1.6144,15259,128,160231,1208
100000,1500,12,1.61159,15297,137,160294,864
100000,2000,12,1.6105,15368,141,160389,660
100000,100,13,1.64794,44151,100,156004,8789
100000,500,13,1.59682,55444,105,157476,2205
100000,1000,13,1.59162,59028,122,157954,1208
100000,1500,13,1.58819,59738,130,157955,864
100000,2000,13,1.58894,60300,137,158234,660
100000,100,14,1.63848,77356,100,155058,8789
100000,500,14,1.58982,88859,106,156777,2205
100000,1000,14,1.58627,93705,121,157418,1208
100000,1500,14,1.58336,92530,130,157471,864
100000,2000,14,1.58229,94017,136,157569,660
100000,100,15,1.62419,150242,101,153629,8789
100000,500,15,1.57807,325912,109,155602,2205
100000,1000,15,1.57382,327185,125,156174,1208
